# coding: utf-8
# 小鹤音形（简）辅库
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 包含如下词库：
# 	1. 快符
# 	2. 次选
# 	3. 填空
# 	4. 表外字
# 	5. 符号
# 	6. 随心
# 	7. 二重简码

# 1.快符
：“	;q
？	;w
（	;e
）	;r
@	;t
《	;y
》	;u
[	;o
]	;p
！	;a
……	;s
、	;d
“	;z
→	;x
”	;c
——	;v
# 2.次选
饥渴	jike
指导	vidc
以下	yixx
一致	yivi
知识	viui
二十	erui
称为	igww
消失	xnui
兼职	jmvi
人物	rfwu
实践	uijm
水瓶	uvpk
实施	uiui
深思	ufsi
美洲	mwvz
练习	lmxi
先进	xmjb
旗舰	qijm
机器	jiqi
智慧	vihv
一篇	yipm
极为	jiww
渐	jmdj
绩	jisr
簟	dmv
镞	zuj
榇	ifmm
焰	yjhj
解	xpdn
湎	mmdm
辟	biuu
抚	fufw
佛	furf
汲	jidj
沏	qidd
骐	qimb
钎	qmjq
挚	vifu
烯	xihj
奄	yjdd
魇	yjig
鸨	bcb
龅	bcv
荜	bicu
璧	biu
槟	bkm
煸	bmh
辨	bml
粢	cid
𬱖	diy
箪	djv
膻	djo
汾	ffd
钒	fjj
梵	fjm
矾	fju
敷	fuf
蜉	fui
脯	fuo
凫	fup
俯	fur
弗	fuv
槁	gcm
阁	gem
汞	gsg
蛄	guik
枸	gzm
濠	hcd
涸	hed
嗬	hek
𬌗	hey
恍	hlx
奂	hrd
泓	hsd
斛	hud
烩	hvh
骅	hxm
焯	ich
梣	ifm
氅	ihx
怅	ihxi
浐	ijd
蚩	iiv
忡	isx
蜍	iui
巾	jbl
矜	jbs
蓟	jic
奇	jid
觊	jie
嵇	jih
骥	jim
系	jip
继	jis
戟	jiu
笈	jiv
玑	jiw
计	jiy
荆	jkc
靖	jkl
腈	jko
憬	jkx
煎	jmb
溅	jmd
监	jml
槛	jmm
僭	jmr
戬	jmy
醮	jny
诘	jpy
疚	jqb
苣	juc
飓	juj
桔	jum
惧	jux
遽	juz
镓	jxj
咯	kak
贶	klk
吏	lia
荔	lic
厘	lii
鹂	lil
骊	lim
俚	lir
蠡	liv
璃	liw
泠	lkd
囹	lkk
羚	lky
粱	lld
骝	lqm
蝥	mcs
麋	mig
沔	mmd
眄	mmo
蘑	moc
摩	mog
苜	muc
媒	mwn
匏	pcd
莆	puc
芑	qic
漆	qid
棋	qim
祈	qip
憩	qiq
骞	qmb
铅	qmj
觫	sud
燧	svh
遢	taz
溏	thd
嚏	tik
澹	tjd
拓	tof
椭	tom
桐	tsm
厍	uei
什	ufr
裳	uhx
湜	uid
舐	uiq
虱	uiv
潸	ujd
倏	uur
拯	vgf
筝	vgv
汁	vid
执	vif
枳	vim
祗	vip
智	viu
湛	vjd
𫗴	vju
渚	vud
株	vum
诬	wuy
葳	wwc
畏	wwt
浠	xid
熄	xih
嬉	xin
晞	xio
奚	xip
硒	xiu
惺	xkx
庠	xlg
岘	xme
蚬	xmi
娴	xmn
骁	xnm
蟹	xpd
谐	xpy
谑	xty
醺	xyy
衙	yai
讶	yay
龈	ybv
漾	yhd
肄	yib
漪	yid
燚	yih
贻	yik
翊	yil
伊	yir
彝	yiv
奕	yiw
怡	yix
淹	yjd
衍	yji
铅	yjj
檐	yjm
鄢	yjv
琰	yjw
酽	yjy
莹	ykc
膺	ykg
鹦	ykk
楹	ykm
嬴	ykw
沅	yrd
鸳	yrx
涌	ysd
泳	ysdy
萸	yuc
浴	yud
鬻	yug
圄	yuk
觎	yur
鹬	yus
谀	yuy
纭	yys
尢	yzu
蚰	yzi
渍	zid
蕃	fjct
麸	fuff
蝠	fuit
赙	fukc
鸱	iid
矶	jiuj
蛎	liiw
栎	liml
蠃	low
洌	lpdd
闾	lvmk
暝	mkob
茉	mocm
稽	qih
祇	qipu
醛	qryw
什	uir
姝	uun
楂	vam
蜇	vef
嵬	wweg
烜	xrh
呷	xxkj
殃	yhdy
痍	yiby
沂	yidj
翳	yikx
翌	yixl
焱	yjhh
阉	yjmd
彧	yua
淤	yudd
咨	zidk
